11,产品专员/助理,市场调研与数据分析、产品需求文档（PRD）撰写、项目管理与进度跟进、竞品分析、产品策划与原型设计、跨部门协调、电商平台运营（如亚马逊）、基础设计软件（如PS、Canva）使用、外语能力（英语四级及以上，部分要求法语/意大利语）。,通常无硬性证书要求，但相关专业（如机械设计、电气工程、医学类）学历背景优先；部分岗位提及大学英语四级或以上优先；行业特定证书（如项目管理PMP、产品经理认证）是加分项但非必需。,需通过市场研究识别机会、结合流行趋势独立设计新品，并参与产品概念创新；在复杂项目中协助探索产品发展路线，解决从开发到上市过程中的问题。,要求快速掌握行业知识、产品专业内容及新技术（如5G、跨境电商工具），适应多领域工作（如医美、电气、学术平台），并在培训中迅速提升实操能力。,需适应高强度工作节奏，包括多任务并行、项目进度紧迫、跨部门协调压力，以及应对市场变化和交付期限的挑战。,强调团队协作与跨部门沟通（如研发、销售、市场），能清晰汇报工作、组织会议、传递产品信息，并有效收集反馈以推动项目进展。,注重动手执行：从产品打样、测试对接到上架审核、数据统计；具备项目落地经验，能独立完成市场调研、文档整理及推广活动策划。,产品专员/助理是兼具市场洞察、项目执行和跨部门协调能力的多面手，在快速迭代中推动产品从概念到落地的全过程。,60,2026-03-20 11:00:59
12,科研人员,分子生物学、生物化学、生物技术、植物保护、环境工程、计算机科学、人工智能、大数据、电子信息工程、测控技术、化学、药学、中药学、食品科学、合成生物学、分析化学、病理学、毒理学、遗传学、病理生理学、混凝土及耐久性优化、植物代谢产物功能挖掘与分离纯化、常规生物活性测定、微系统设计、人工智能芯片与算法开发、建筑机械安全智能保护与检测技术、智能制造技术、数字化转型与数字园区研究、电磁成像与感知、电磁兼容、电磁无损检测、橡胶及轮胎技术、材料熔盐腐蚀行为研究、量子信息技术与密码学、脂质体/微囊/微球等特殊制剂制备与表征、飞控计算机与电传飞控系统研发、仪器设备互联与AI for Science/Lab、经济理论与政策研究、科技成果转移转化、科研项目管理与申报、实验室运营与维护。,通常无强制性通用证书要求，但部分特定领域（如医疗器械生物相容性）可能需相关专业认证；博士/硕士学位证书是核心入职门槛；参与国家级/省部级科研项目经验可作为能力证明；发表高水平学术论文、获得专利或科技奖项是重要加分项。,需具备将工程问题、实验数据或领域规律转化为数学模型并编程求解的能力；能开展基础性、前瞻性科研，参与新技术、新工艺、新材料、新装备的研发；能独立或协助开展课题研究设计，解决预制构件生产、水污染控制等复杂实际问题；在AI for Science、量子信息融合等前沿交叉领域提出创新性技术方案。,需快速跟踪国内外相关领域（如数字化转型、园区数字化、开放获取出版）动态；掌握新技术、新方法（如AI for Instruments、智能制造集成）并应用于研究；能适应多学科交叉（如生物与化学、工程与信息）的研究环境，持续学习以推动项目进展。,需承担从项目申报、实施到成果申报的全周期管理压力，可能同时领导或参与多个项目；需适应科研项目的不确定性和高强度实验/数据分析工作；能应对现场转化、问题解决中的紧迫任务，确保及时交付研究成果。,需与团队、专家学者、编委、作者、审稿人、医生、患者及家属等多方有效沟通；能协助开展日常行政、学生管理及实验室协调工作；具备良好的团队协作能力，能清晰汇报研究进展，参与技术方案研讨并编写产品说明、建设部署方案等材料。,需独立或协助开展实验设计、动物手术、数据采集与分析、仪器操作与维护；具有杀菌剂/杀虫剂研发、植物代谢产物挖掘、分离纯化、废水处理、芯片开发、飞控产品设计等实际项目经历；能推动科技成果转移转化，协助解决生产过程中的技术问题，实现研究成果落地。,科研人员是具备深厚专业背景、能独立开展创新研究、解决复杂工程与科学问题，并推动成果转化与应用的高学历、高技能复合型人才。,591,2026-03-20 11:01:25
13,销售助理,客户接待与关系维护、销售数据统计与分析、订单全流程跟进与管理、办公软件（Word/Excel/PPT）及CRM系统操作、基础行政事务处理（如文件归档、会议室预订）、市场信息收集与初步分析、招投标流程协助、外贸单证制作（部分岗位）。,通常无硬性证书要求，但持有市场营销、国际贸易、商务英语等相关专业学历证书为佳；部分涉及外贸或特定行业的岗位可能优先考虑相关行业知识背景。,需在客户维护、销售支持及流程优化中发挥主动性，能针对客户疑虑或内部协作问题提出改进建议，以提升服务效率和客户满意度。,要求快速掌握公司产品知识、销售流程及行业动态，能适应多渠道（如电商平台、私域运营）客户对接方式，并具备基础的数据分析技能学习意愿。,需适应多任务并行处理，能承受销售目标支持、客户跟进、数据统计及行政协调带来的工作压力，确保各项事务按时准确交付。,具备优秀的对内对外沟通协调能力，能高效对接客户、销售团队及内部各部门，进行清晰的信息传递、关系维护和问题协调。,强调动手处理日常销售支持事务的能力，包括客户档案建立、订单跟踪、文档制作、数据录入与报告生成，确保销售流程顺畅落地。,销售助理是销售团队的核心支持者，需兼具细致的事务处理能力、灵活的沟通协调技巧和强烈的服务意识，以保障销售后端运营的高效与稳定。,147,2026-03-20 11:01:40
14,日语翻译,日语精通（N1/N2/N3），商务日语沟通（电话/邮件/会议），笔译与口译，客户服务与投诉处理，跨文化沟通，IT系统基础操作，电商平台操作，销售与营业技巧，项目管理与协调，Office办公软件。,日语能力测试N1证书（优先），日语专业四级/八级证书，本科学历（日语专业优先）。,能够规划和执行改善方案、店铺运营及商品销售企划；在客户服务中提供专业解决方案，处理复杂投诉和跨部门协调问题。,需快速学习项目相关的网络及系统知识、电商平台规则、新商品提案及销售战略，适应多岗位任务（如企划、事务、营业）。,需适应倒班、早晚班及综合工时制，处理高强度客户咨询与投诉，按时完成翻译和项目任务，承受销售业绩压力。,优秀的日语口头与书面表达能力，团队协作以完成客户服务、项目对接及跨部门沟通，能向上级汇报客户意见和工作进展。,具备3年以上相关工作经验优先，能独立处理售前售后问题、执行翻译任务、跟进外贸订单、管理客户关系及运营企划落地。,日语翻译岗位是以日语语言能力为核心，兼具客户服务、商务沟通、项目协调及运营企划能力的综合性支持角色。,86,2026-03-20 11:01:54
15,售后客服,客户关系管理（CRM）系统操作、电商平台售后流程处理（退换货、退款、维修）、在线/电话沟通技巧、问题分析与解决、数据记录与整理、话术模板应用、产品知识（汽车、保险、电器、潮牌等）、服务流程优化,通常无硬性证书要求，部分行业（如保险、汽车）可能优先考虑相关从业资格证或服务认证，但非必需,需在标准流程和话术基础上，灵活应对客户个性化问题，优化服务体验，并能从客户反馈中总结改进建议,需快速掌握公司产品知识、售后政策及内部系统操作，能适应不同行业（如电商、汽车、保险）的售后规则变化,需在固定工时内处理大量咨询、投诉，面对客户情绪压力，保持稳定服务质量和效率，部分岗位涉及业绩指标,具备优秀的口头和书面表达能力，能清晰解答问题、安抚客户情绪，团队内需协作处理复杂案例并及时反馈进度,能独立处理日常售后订单、咨询及投诉，熟练操作办公及客服系统，具备数据记录和简单分析能力以支持流程优化,售后客服是客户满意度的关键守护者，需以耐心、专业和高效的问题解决能力，在标准化流程中提供人性化服务,147,2026-03-20 11:02:07
16,技术支持工程师,设备安装调试、软硬件故障排查、系统集成、技术方案制定、产品培训、客户需求对接、项目管理、现场实施、技术文档编写、特定行业知识（如光学、医疗、工业自动化、畜牧兽医等）。,通常无硬性证书要求，但特定行业（如医疗设备、工业安全、网络设备）可能要求相关认证（如PMP、CCNA、行业特种作业证等），计算机、自动化、电子信息等相关专业学历是基础。,需具备解决复杂现场技术问题的能力，能根据客户需求优化技术方案，参与产品改进和流程优化。,要求快速掌握公司新产品、新技术及行业应用，适应不同客户场景，持续学习以提供专业支持。,需适应高频次出差、现场工作压力、紧急故障响应及项目交付时限，工作强度大，要求情绪稳定。,需与客户、销售、研发等多方高效协作，清晰传达技术信息，进行培训、汇报和需求协调。,强调动手操作能力，能独立完成设备安装、调试、维修及现场项目实施，具备丰富的项目落地经验。,技术支持工程师是连接产品与客户的关键枢纽，需具备扎实的技术功底、出色的现场问题解决能力和高度的客户服务意识，以保障产品价值实现。,591,2026-03-20 11:02:21
17,猎头顾问,人才寻访与评估、客户需求分析与沟通、招聘渠道管理（网络平台、数据库、社交招聘）、行业与市场研究、数据分析与统计、职位分析与方案制定、候选人关系维护、商务拓展与客户资源管理、债务优化与法律咨询（部分岗位）、医疗/教育/建筑/能源等特定行业知识。,水利专业咨询师证书（部分岗位要求）、无统一强制证书要求，但相关行业（如债务优化、知识产权、绿色建筑认证）的专业资质是加分项。,需要针对客户复杂的人力资源或业务问题（如高端人才猎取、债务重组、数据合规解决方案）设计创新性、定制化的服务方案，并能将方法理论与一线实践相结合。,要求快速掌握新行业知识、政策法规（如数据安全法、产业政策）、招聘工具以及特定领域（如医药、半导体、债务优化）的专业知识，公司常提供带薪培训。,工作常涉及业绩目标（如招聘交付、销售任务）、多任务并行（寻访、沟通、分析）、处理客户与候选人复杂情况，需在压力下保持高效和稳定产出。,卓越的沟通与协调能力，用于团队协作、客户需求挖掘、候选人说服与关系维护、跨部门项目推进以及向客户汇报方案和成果。,强调动手执行与项目落地，包括独立完成从职位分析、人才寻访、面试协调到offer谈判的全流程，或独立完成咨询报告、解决方案的撰写与交付。,猎头顾问是以结果为导向的复合型销售与咨询角色，核心是通过专业的人才寻访与客户服务能力，解决企业中高端人才配置或特定业务领域的复杂需求问题。,147,2026-03-20 11:02:37
18,储备经理人,跨部门轮岗学习、基础业务操作（如销售、客户开发、团队管理、门店运营、生产流程、设备维护）、市场分析与战略规划、财务管理与成本控制、Office办公软件与基础数据分析、特定行业知识（如房产、金融、制造、餐饮）,无硬性行业证书要求，但部分金融/保险类岗位可能偏好相关从业资格证（如保险代理资格证），通用性证书非必需,需在轮岗中学习并优化流程，参与制定战略规划，具备分析市场形势、提出改进方案并解决业务中复杂问题的潜力,要求快速学习公司文化、产品知识、各部门流程及专业技能，能主动学习并适应不同岗位，公司通常提供系统培训,需适应轮岗、多任务处理及业绩目标压力，工作强度较高，常涉及销售指标、团队管理或生产交付压力，要求能承受高强度工作环境,需具备优秀团队协作、跨部门沟通、客户洽谈及向上汇报能力，能够带领团队、协调资源并清晰传达信息,强调动手操作与项目落地，包括轮岗实训、完成指派任务、协助日常事务、管理团队或产线、直接参与业务执行与客户服务,储备经理人是一个通过跨部门轮岗快速培养的综合性管理后备岗位，要求高学习力、强抗压与沟通能力，旨在3-5年内成长为公司的中高层核心管理者。,147,2026-03-20 11:02:52
19,销售工程师,精通产品技术原理与操作（如半导体设备、精密仪器、工业传动、软件系统等），掌握市场分析与客户需求挖掘方法，熟悉销售全流程（客户开发、方案制定、合同签订、履约跟进、回款管理），具备行业知识（如机械、电气、自动化、新能源、生物科技等），熟练使用办公自动化软件及CAD等专业工具。,通常无硬性证书要求，但相关行业认证（如特定设备操作证、项目管理证书）或语言证书（如日语N1）可作为加分项。,能够基于客户需求与市场信息，独立或参与制定创新的销售策略与解决方案，以应对复杂市场挑战并提升市场占有率。,要求快速掌握新产品、新技术及行业动态，持续学习以保持专业竞争力，适应不同行业（如新能源、半导体、生物科技）的销售需求。,需承受高强度的销售指标与回款压力，适应频繁出差与客户拜访，在市场竞争中保持积极心态并完成季度/年度任务。,具备卓越的客户沟通、谈判与关系维护能力，能够跨部门协作（如与技术、生产团队配合），并向管理层清晰汇报市场信息与销售进展。,拥有从客户开发到订单交付的全流程实战经验，能独立执行销售活动（如拜访、方案演示、合同处理），并解决售前售后技术问题。,销售工程师是兼具深厚产品技术知识、敏锐市场洞察力与卓越客户关系管理能力的复合型人才，以技术驱动销售实现业绩目标。,147,2026-03-20 11:03:06
20,律师助理,"法律文书起草与审核（起诉状、答辩状、代理词、合同等）、案件卷宗整理与归档、证据材料管理、法律调研与案例检索、协助诉讼程序（庭前准备、调查取证）、基础法律咨询、办公软件（Word, Excel, PPT）熟练使用、特定领域知识（如民商事诉讼、破产、知识产权、资本市场、不良资产处置等）。",法律职业资格A证（或通过国家统一法律职业资格考试/司法考试）是核心要求；部分岗位优先考虑知名法学院校（211/985）背景或英语六级、驾驶技能等附加证书。,要求善于对法律问题进行检索、研究和总结，能够运用扎实的法学理论功底和逻辑思维能力，协助解决案件中的复杂法律问题，并在律师指导下参与案件集体讨论，提出建设性意见。,需勤奋好学，能快速掌握法律专业知识及实务操作，接受指导律师的工作安排，适应不同业务领域（如诉讼、非诉、破产、资本市场等）的学习要求，并持续更新法律知识。,工作涉及案件跟进、资料整理、客户沟通等多任务处理，需能承受一定的工作压力，部分岗位明确要求抗压能力强，能适应可能的加班或高强度工作节奏。,需具备良好的语言表达、沟通、组织及协调能力，逻辑思维清晰，能辅助律师与客户、法院等进行有效沟通，并具备团队合作精神，善于协作完成工作。,强调动手能力和项目落地经验，包括协助律师调查取证、抄写文书、摘录案卷、参与谈案、证据调查、案件辅助准备、OA系统操作、客户档案建立等具体实务操作。,律师助理是需具备扎实法学功底、通过法考、兼具文书处理、案件协助及良好沟通执行力的法律实务入门岗位，为核心律师提供全方位支持。,147,2026-03-20 11:03:24
21,储备干部,客户关系维护与开发、销售数据分析、团队管理与绩效督导、门店/场区运营管理、生产/品管/库存基础操作、人力资源与行政事务处理、市场营销活动推广、金融/保险/理财咨询服务、餐厅营运管理（值班/订货/排班/利润管理）、房产经纪服务、使用公司数字化平台（如APP）进行业务操作。,无硬性行业证书要求，但部分岗位可能偏好相关专业（如机械、电气、工商管理等）的学历证明。,要求能在上级指导下优化工作流程、参与团队建设与发展、根据客户需求提供解决方案，但多数描述未强调独立解决复杂创新问题。,要求快速掌握公司培训内容（包括产品知识、销售流程、管理技能）、适应轮岗学习、能通过公司商学院或一对一培训快速成长。,工作强度较高，涉及销售指标、团队绩效、客户维护等多重压力，但部分岗位提及团队绩效分担以减少个人压力。,要求优秀的人际沟通能力，包括客户拜访、团队协作、向上汇报、跨部门协调及处理客户投诉。,强调动手执行能力，如终端销售网点陈列、促销执行、客户接待、数据处理、招聘面试等一线或基层管理实操。,储备干部是以轮岗培训为基础、以快速晋升至管理岗位为目标，强调销售、运营及团队管理综合能力的初级管理培训生岗位。,147,2026-03-20 11:03:38
22,网络客服,在线聊天工具操作、打字录入（速度40字/分钟以上）、基础办公软件使用、电商平台（天猫/抖音/拼多多/京东）后台操作、客户关系管理（CRM）系统使用、订单与物流查询、基础产品知识（如智能家居、小家电、游戏、医疗咨询等）、售前咨询与售后服务流程、投诉与纠纷处理、客户信息维护与更新。,通常无硬性证书要求，部分岗位提及大专或本科学历优先，个别医疗相关岗位提及学医专业优先。,要求较低，主要职责为标准化问题解答与流程执行；部分岗位提及需反馈产品问题或提出改进建议，但非核心要求。,要求快速掌握公司产品知识、客服系统操作及沟通话术；多数岗位提供带薪培训，接受无经验者，强调上手快。,工作强度中等，通常为轮班制（含夜班），需处理重复性咨询及潜在客户投诉；多数描述强调“无销售压力”、“轻松无压”，但需适应在线实时响应节奏。,要求具备良好的在线文字沟通能力，能清晰解答客户问题、引导交易或处理纠纷；部分岗位提及需团队协作分享经验，但以独立在线应答为主。,强调即时操作能力，能熟练使用聊天工具快速响应客户，处理订单、退换货、技术咨询等具体事务；无需复杂项目经验，以执行标准化流程为主。,该岗位是入门级、以在线文字沟通为核心，执行标准化客服流程，注重操作熟练度与基础沟通能力的服务型职位。,147,2026-03-20 11:03:54
23,C/C++,精通C/C++语言，熟悉Java/Python/Go/JS等至少一种其他语言；掌握数据结构与算法；熟悉Linux系统开发；了解AUTOSAR、Qt、网络通信（CAN/LIN/ETH/TCP/UDP）、多线程、嵌入式、三维CAD算法、机器学习/深度学习、鸿蒙/OpenHarmony、信息安全、功能安全等至少一个领域；具备软件设计、编码、调试、性能优化及文档编写能力。,通常无硬性证书要求，但计算机、软件工程等相关专业本科及以上学历（学信网可查）是普遍基础；具备行业认可的专业技术证书（如相关领域认证）可作为加分项。,需具备独立分析需求、设计解决方案的能力；能够对现有算法、策略或系统进行优化改进；参与前沿技术研究，解决软件开发中的关键问题和技术难题。,要求热爱编程，热衷新技术，善于总结分享；能快速学习并应用新工具、新框架（如新编程语言、开发平台）；具备良好的技术适应性和持续学习意愿。,需适应项目进度要求，能承担开发、测试、调试及文档编写等多任务压力；具备在项目联调、问题攻关及客户支持场景下高效工作的能力。,需具备良好的团队协作能力，能与机械、电气等多部门配合；能清晰进行技术文档编写、需求分析评审及客户培训；善于沟通，乐于合作。,强调动手实践，能独立或协作完成软件全生命周期开发（需求分析、设计、编码、测试、维护）；有项目落地经验，能解决现场反馈的实际问题。,该岗位是要求扎实编程基础、广泛技术涉猎及强工程实践能力的系统级软件开发角色，专注于高性能、高可靠性软件的设计与实现。,415,2026-03-20 11:04:11
